id	name	type	nation	img_small	img_medium	description
PJSC520	Yoshino	Cruiser	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSC520_017e55976eb6658f2f5cb763e38bc3d80bae966336caecc66a5b0117054032b1.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSC520_b4cc3aef89464aa6f6b79db1eb33d8ea3e224ec40f0700b2a82cf8714f798322.png	Un barco de movimiento rápido con el armamento de la batería principal de 310 mm, destinado a contrarrestar los cruceros pesados enemigos (Proyecto B-65). Esta versión del diseño también contó con armamento de torpedo.
PJSB509	Musashi	Battleship	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSB509_51ef2df4e97193eec7ae82a5a4068f4a3618e7494343100c29966675264fc93e.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSB509_2afadc8cb3f93b87dd81d9a84af61bb555c0d62e9f5b3769b677813419a10d29.png	Este acorazado de clase Yamato fue el único de sus buques hermanos que entró en servicio. Al igual que el Yamato, el Musashi fue el barco más grande de la Segunda Guerra Mundial. Cuando se construyó, tenía una batería de cañones secundarios más potente, pero una defensa AA más débil en comparación con su hermano, modernizado posteriormente.
PASC707	Flint	Cruiser	usa	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PASC707_9a53bf9f926e7f9199ed84b19e8ab76ac7dd0559502728123fa9908c7d8b0343.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PASC707_12e09216a843ed9f2b5fe6cd9a389fd5f975fb0574b81d627444e2e8429b7f54.png	Este barco pertenecía a una serie de cruceros con cañones de propósito dual muy potentes. La gran diferencia con el barco líder era el escaso alcance del armamento AA, el cual se había mejorado a costa de instalar menos cañones principales.
PBSA518	Ark Royal	AirCarrier	uk	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PBSA518_a7d90fa7e96bcd725f8e17415006c1846f6512b9ba531f4ec9e622f29ff71d50.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PBSA518_bccfbbf0ec01727c87cedc5caecc13b985dfa37d3e2c8def96a4227a603e0cb4.png	El primer portaaviones británico de una nueva generación, equipado con una pista de vuelo continua, equipamiento moderno para el despegue y aterrizaje de aviones, y armado con la artillería de doble propósito más avanzada de la Royal Navy a finales de los años 30.
PRSB518	Lenin	Battleship	ussr	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PRSB518_03952270b37c005edd521e04e59bfd489c052a9ee68824716d01f158c71f72a9.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PRSB518_ffa140fee15ea5467f4bacc8e2f8bd0bfef31b2ee7ac0637cb416d59a812bdf6.png	Una de las variantes de un acorazado de alta velocidad con una batería de 406 mm (Proyecto 21), desarrollado bajo el programa «Gran Flota». Una característica distintiva del Proyecto fue la concentración de las torretas de la batería principal en la proa del barco.
PRSC513	Varyag	Cruiser	ussr	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PRSC513_4e3ce7c31b87f4d4f194cc1e9f65b8c47b61ff1a764baa25d296e0ebe36716cf.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PRSC513_8f7d1230b68ce967dc149dc35fbaaead4c9fb9e0a72921692b670b1cc78e6f54.png	Uno de los cruceros más famosos de la Armada Imperial Rusa. Se construyó en los EE. UU. dentro de un proyecto único que se basaba en el diseño técnico utilizado para construir el Bogatyr. El barco tenía una velocidad muy alta para su época y llevaba numerosos cañones secundarios de tiro rápido.
PJSC709	ARP Haguro	Cruiser	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSC709_0bee87c13a1dfa0a474a288e353ffa1337eff7ced7b08b93e5359bcd964083ae.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSC709_9461b7f101050dc9bf846fad9ed6afe179b649ffed1bd71baa830af5704a0cc0.png	Un crucero pesado de la «Flota de la Niebla». Modelado a partir del Haguro, el cuarto crucero de la clase Myōkō de la Marina Imperial Japonesa. Equipado con múltiples módulos impulsores, usa su excepcional velocidad y agilidad para superar a sus oponentes. Su modelo mental «Haguro» es conocido por su lengua afilada y su vaga personalidad. El Haguro actúa como una de las «secretarias» de la Junta de Estudiantes de la Niebla, junto al Ashigara.\nEste barco de guerra se ha diseñado específicamente para World of Warships, y está modelado a partir del Haguro de «ARPEGGIO OF BLUE STEEL -ARS NOVA- Cadenza».
PJSD706	Shinonome	Destroyer	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSD706_415338153df91de8614c59fb4227266483dffe85fc4c98f40285a942fa2c8371.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSD706_5cc446918e00b1c48f8565dfe4e691145436335c751cc2471f191dbc3c97c62d.png	Uno de los primeros destructores de la clase Fubuki, con un increible poder destructivo por sus tres lanzadores de torpedos de 610 mm. El buque sobrepasaba ampliamente a los destructores de las clases precedentes en términos de potencia de fuego artillera. Sin embargo, sus defensas AA eran débiles, característico de todos los destructores japoneses.
PJSC727	Eastern Dragon	Cruiser	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSC727_9b70be9b1d1890fafe3ceaac99d99577c0a1f93b52be6aa816b9d10b67fec6fc.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSC727_a41cdce4547b00c76e4d4d651b527383a5c5195d905b42243bf2d00973ef1d66.png	En la tradición china, los dragones se suelen representar como criaturas alargadas de cuatro patas, similares a las serpientes y cubiertos de escamas. Son cuatro hermanos, los reyes dragones, y cada uno representa uno de los cuatro mares. El rey dragón del mar del Este es Ào Guǎng.
PBSD517	Cossack	Destroyer	uk	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PBSD517_4dde170795a55472dfbb20b938e349c8acab41d7e4d25b09cd248b4653ca9ca6.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PBSD517_c2ae5de8a3b1ec7d639c9d88abb4fc9feb3608690dbec3e487934ef7e64ac509.png	Uno de los destructores más famosos de clase Tribal, se distingue de sus homólogos británicos por su gran tamaño y el énfasis en la artillería más que en los torpedos. Cuando entró en servició, su batería principal tenía cuatro monturas de cañones gemelos de 120 mm.
PRSC528	Ochakov	Cruiser	ussr	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PRSC528_3af1645d2772ab315efe19affa1cf879685d8b470577a56d1f726fd233dd213f.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PRSC528_dde334da4fecb73bd08eb00895e0631ef6f671e81566187d524a78b362ca28b8.png	Una de las versiones de un proyecto de crucero ligero pequeño (MLK-8-152). Su batería principal constaba de monturas de 152 mm de doble propósito desarrolladas en la URSS a mediados de los años 1940.
PJSB918	[Yamato]	Battleship	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSB918_09d58fd0f34d6b2d24352c735c1abc10a2c483ffbcfd203f192238263b77c7ba.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSB918_c196e1eeaa564f2324fa0a85c804f9fe86f31b196f1ed25536de9c8caf84d8d4.png	Este barco es una copia del Yamato y solo es apto para Batallas de clanes
PJSC598	Atago B	Cruiser	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSC598_bba0e960fd4bbfdad4394c90ad97ab39fe714b2b23c7e01402b9843c238779ef.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSC598_8704a6df63ec3a351d6a620080c8b3fdb4db213a929e1335f9ea80e4fde2d61d.png	Un desarrollo de los cruceros de la clase Myōkō. Cuando entró en servicio, el Atago era uno de los cruceros pesados más potentes del mundo. El barco sobrepasaba en velocidad a todos los cruceros de los potenciales rivales de Japón. Para su época, el Atago estaba bien blindado y poseía un armamento AA eficiente, así como artillería y torpedos potentes.
PBSC516	London	Cruiser	uk	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PBSC516_6f8fabab607b96c5851372a74fc10a0ff7be0cb954bf681d5f914d949887108f.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PBSC516_557fbc559471d9ae0110417c670802ab7b49532227318e18e324ee5f32a4e0be.png	El buque líder de la segunda serie de cruceros de clase County, cruceros británicos «del Tratado de Washington» armados con ocho potentes cañones de 203 mm. El crucero se reconstruyó como parte de la amplia modernización efectuada a finales de los años 1930, que modificó el aspecto exterior de los barcos y reforzó su blindaje y sus baterías AA.
PFSB518	Jean Bart	Battleship	france	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PFSB518_e98a1b58fe899c6c0f69cc9973ed0e55c42e68de1eee1fc58ef2513f9fa36da3.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PFSB518_96746fa1296691cc0d39f6f7ba18a4482bdba8d28ce0b57f7ad18854de4a2009.png	Un acorazado de clase Richelieu, famoso por su alta velocidad y una potente defensa antitorpedos. A finales de la década de 1940, mientras se completaba, recibió el sistema de artillería antiaérea más avanzado de su época, con una defensa AA significativamente mejorada.
PGSD508	Z-39	Destroyer	germany	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PGSD508_9aa92d1aab51689cf337177e30b27688c614bb9803dc617aacbf89f0ed4a0fa4.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PGSD508_29ca9b15780fdad771d4e825390d43f52ee697766e82a31b2240b435913dde8a.png	El último buque hermano del destructor Z-23. Perteneció a una serie de barcos puestos en grada tras el inicio de la II Guerra Mundial (Type 1936A Mob). Tenía cañones de 150 mm. Entre 1944 y 1945, pasó varias mejoras y recibió un considerable aumento de su defensa AA. Sin embargo, para ello se tuvo que desmontar uno de los cañones principales del barco.
PGSC706	HSF Admiral Graf Spee	Cruiser	germany	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PGSC706_b3c99f5ac9380a04b653d4f05cdab282c0b6ef2679969e9509ff202e46f7a957.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PGSC706_943bbe1f2734b5f876d11e20007a1798fc9a391704bc827394014fadef7081be.png	Buque escuela de clase Deutschland de la Escuela Secundaria Naval de Wilhelmshaven. El comandante del barco es Thea Kreutzer y su segundo Wilhelmina. Tiene cañones de 28 cm en un casco con un desplazamiento equivalente al de un crucero de entrenamiento y su propulsión diésel le proporciona una autonomía de crucero muy amplia. Es valorado en las travesías de largo recorrido por su gran autonomía de crucero. En la serie, su gran autonomía se emplea en el viaje de intercambio extranjero. De la serie «High School Fleet».
PJSA518	Kaga	AirCarrier	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSA518_12ef9eaa534e14ae966d5c5af03277e8c9142ae157cbdf76b4a49afe9fc7910f.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSA518_3aeb2c850032096009e9d1f2d7580821744c44807c16f7879bf240b40c9e91b0.png	Hasta principios de los 40, era uno de los portaaviones más grandes de la Armada Imperial japonesa. Iniciado como un acorazado, fue rediseñado durante su construcción para convertirse en un portaaviones. El barco tenía buena protección de blindaje para su tipo, portaba un numeroso grupo aéreo y potentes baterías secundarias.
PJSD912	[Shimakaze]	Destroyer	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSD912_abe195480c5687e0a492b11dcd83d8117b278c8c3aa8bc794b3df3ed77c21c26.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSD912_41cc1e897ad395adef95e249190e5e617890d04883f850eddd24dabcdf081d52.png	Este barco es una copia del Shimakaze y solo es apto para Batallas de clanes
PBSB910	[Conqueror]	Battleship	uk	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PBSB910_135ede5e893e5f2cf148f7a8d1b81fdc2bbb130a2855cc2c76c1c24fe9eef604.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PBSB910_1dc96d766691d6fa93436482fd4b0465deb584f600e64d9cfed49049c03fc64c.png	Este barco es una copia del Conqueror y solo es apto para Batallas de clanes
PASB705	Texas	Battleship	usa	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PASB705_e629e475efaf1e29292b717f4d5b05b417d61aa78bd9b286a48f8cb8d8da0f2e.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PASB705_2c2f76c8ee4f1e68a1cffe651998383511a3b7468fa327cf65f7fb5d514ebfa9.png	El primer súper dreadnought en la U.S. Navy. Se sometió a extensas modernizaciones para reforzar la protección contra torpedos y el blindaje horizontal. Durante la II Guerra Mundial, recibió potente armamento AA.
PRSC606	Admiral Makarov	Cruiser	ussr	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PRSC606_acaf2bf7566c6fefc4a83e85b1f9b67163e42a5fc14dc34da4449f7505de5eee.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PRSC606_27b242ce56a9a6a7fbe69e2bd11d8ee55232ae1cde975d3d89d7c8adf5f670a7.png	En 1945 el crucero alemán Nürnberg fue cedido a la Unión Soviética como reparación de guerra. Fue renombrado y parcialmente rearmado. Durante la mejora subsiguiente, los cañones automáticos AA del barco y otro equipamiento se reemplazaron, pero se mantuvo sus cañones de disparo rápido, que eran bastante potentes para un barco de su tamaño.
PJSC708	ARP Takao	Cruiser	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSC708_4110aecb47a60c899277f6a2b3c7af1afa89a5af1b95c7230bceb0f17781cc71.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSC708_0fbcf5e0e2cafa006c374f032d2a821350f8f420c383077a91f7356dfe215fe7.png	Un crucero pesado de la «Flota de la Niebla». Modelado a partir del Takao, buque insignia de la clase Takao de la Marina Imperial Japonesa. Pierde un duelo contra el I-401 mientras patrullaba por el área del mar de Kumano. Tras su derrota, decide dejar la «Flota de la Niebla» para ingresar en el «Acero Azul» liderado por Gunzo Chihaya. El modelo mental del Takao tiene una gran curiosidad, lo que hace que de manera inconsciente reúna gran cantidad de información sobre la humanidad.\nEste barco de guerra se ha diseñado especialmente para World of Warships y está modelado a partir del Takao de «ARPEGGIO OF BLUE STEEL -ARS NOVA-».
PASB510	Ohio	Battleship	usa	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PASB510_1d778bf39031b11b53821ac9e51ae088bd5105f8fd8853e78257fb89803214aa.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PASB510_654f94174a6359984eb4312eca445494eb74788a75430207c79beee6baf240a1.png	Un acorazado que representa el diseño naval de la clase Montana, con cañones de la batería principal de 457 mm situados en torretas gemelas diseñadas en EE. UU. a finales de los años 30.
PGSB598	Tirpitz B	Battleship	germany	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PGSB598_38cafa84763ff00a5ac34e17d885785f994e37deee48725316fc4a9c2bbdbdbb.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PGSB598_ec40b715953a361d320fe4061020d038256b639a37f036ab85d5efe807bb8d74.png	Uno de los dos acorazados más poderosos de la Marina de Alemania. Similar al barco líder de su clase, el Tirpitz poseía un fuerte blindaje, potente artillería y gran velocidad. La débil protección blindada horizontal era el principal contratiempo de su diseño, compensado en gran medida con la mejora de la defensa AA.
PJSD518	Asashio	Destroyer	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSD518_31adcca978dfffcaaceee151db4a83095a69aaf99d8b5ec0f503709480c5eeae.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSD518_2d5609566ebfa4665f589eb861f242686df10a1e98cdcc9b6fce1b7cace7d0a9.png	El destructor nipón Asashio fue el buque definitivo de este tipo en Japón. Se construyó tras el lanzamiento de los barcos de clase Fubuki. La ausencia de restricciones en el desplazamiento permitió que los arquitectos navales encontrasen un buen equilibrio entre velocidad, armamento y tamaño del casco. Gracias a una buena disposición general, el Asashio sirvió de prototipo para la mayoría de destructores nipones posteriores.
PRSC509	Kronshtadt	Cruiser	ussr	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PRSC509_0a7d064b3d3ff06ab395545519f271b541424cc542f35e9ea45ffb71ab61a64e.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PRSC509_5e1ad834b13ab701d2585692d7e18bd41b99b5abf656786efca69f10b0039551.png	Una gran lancha cañonera, oficialmente designada como crucero pesado, pero con unas características técnicas más cercanas a las de un «miniacorazado» de alta velocidad. Desventajas: una débil defensa AA.
PWSD910	Lappland	Destroyer	europe	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PWSD910_7308033011232024e532502422297e9d469c73017a88307e53e64c13bfe4e97e.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PWSD910_fb063a0b67bd1b296291c4a2d40311e65b93a4d69eeb62ad087668e32855d143.png	Los más grandes y potentes destructores de la Armada sueca. Sus principales ventajas eran sus fuertes defensas AA y su artillería de la batería principal de disparo extremadamente rápido.
PJSD510	Hayate	Destroyer	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSD510_930c7a46da5b3a621ef97b583cbf5b3eecdc7f064f622ca5882b8859228c26da.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSD510_113f11eaed3fca394f05b3d00d0b43af1c7992558788e8acc59acb4de6c7985a.png	Un diseño de destructor equipado con cañones Type 1/5 de 127 mm de doble propósito diseñados a la perfección para las necesidades de la Armada japonesa durante la II Guerra Mundial.
PJSC707	ARP Ashigara	Cruiser	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSC707_213faafb421e9bb32f65f5fadfb25196728b379f80f8d6f90152507707fc9d52.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSC707_5efd73288cb60ccc804c3dc82bb519a482ad2a52faa4480f5418ed61f521f61d.png	Un crucero pesado de la «Flota de la Niebla». Modelado a partir del Ashigara, el tercer crucero de clase Myōkō de la Marina Imperial Japonesa. Está equipado con un cañón arpón especializado, que reemplaza a la unidad del cañón de súper gravitón. Su modelo mental «Ashigara» tiene una personalidad belicosa y no piensa las cosas con cuidado. El Ashigara actúa como una de las «secretarias» del «Consejo de Estudiantes de la Niebla», junto al Haguro.\nEste barco de guerra se ha diseñado específicamente para World of Warships y está modelado a partir del Myōkō de «ARPEGGIO OF BLUE STEEL -ARS NOVA- Cadenza».
PASB509	Missouri	Battleship	usa	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PASB509_9b435c1100a6f5b7c3c188bffb12ee3243cd9394b7df9bf9dced5c8a003d0dd0.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PASB509_58ce4f5c0df93dc676d5e26e5bb9d84f5f2c1884542012b8e55491c94ab37172.png	Uno de los acorazados de la clase Iowa, que eran de los barcos más rápidos de su clase en el mundo. Poseía unas baterías de cañones muy potentes, y una excelente defensa AA y protección contra torpedos.
PGSA598	Graf Zeppelin B	AirCarrier	germany	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PGSA598_06c48a9c5fdd373ef3dc26086b96ead26ad18adbc8a6ded9a4ee282b81505ac7.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PGSA598_cf4d7009246fd2faeea406c1d2147abfb78c33b7d83084bfc2886750117312cf.png	Un portaaviones de alta velocidad con numerosos cañones secundarios y de doble propósito. Tenía la propulsión más potente de entre todos los barcos de la armada alemana. El portaaviones nunca fue completado porque las prioridades del programa de construcción naval alemán cambiaron durante el curso de la II Guerra Mundial.
PJSC737	ARP Nachi	Cruiser	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSC737_a1448e104c2a97c9947056916b64be6dcd505f06b2dc92d4c506cce31b605ba2.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSC737_7f4c41cc333c000f49250f438f3dd9ef5c5d04bc01b33b282b33e0e38245cf94.png	Un crucero pesado de la «Flota de la Niebla». Modelado a partir del Nachi, el segundo crucero de clase Myōkō de la Marina Imperial Japonesa. Aprovechando su excepcional capacidad de reconocimiento, puede rastrear al I-401 incluso cuando marcha en silencio. En combate actúa como detector, calculando datos para los enfrentamientos a larga distancia del Myōkō. Su modelo mental «Nachi» actúa como «Tesorero» del Hiei en la «Junta de Estudiantes de la Niebla». Con una personalidad más bien plácida, a menudo se ve influenciado por su energético colega, el Ashigara.\nEste barco de guerra se ha diseñado específicamente para World of Warships, y está modelado a partir del Nachi de «ARPEGGIO OF BLUE STEEL -ARS NOVA- Cadenza».
PISD510	Paolo Emilio	Destroyer	italy	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PISD510_6624831a92d15e3a7cae37d8ff287705cd226984cccad16886c572cbfe453809.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PISD510_e79d1c7bd82319af660d56aaa941ecb4a888513dc223c3c4cf2f2324f95859c6.png	El proyecto de un «barco blindado de reconocimiento» relativamente grande y muy veloz con una potente batería principal, desarrollado por la compañía Ansaldo bajo el Proyecto UP 39. El Paolo Emilio fue el predecesor de los cruceros ligeros de clase Capitani Romani.
PJSB706	ARP Kirishima	Battleship	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSB706_11cb909a60e1cce16449c0309326e3686c69ba9f131c80a9da2d52cc11c4b0d9.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSB706_8a19f643d77bf5c553256c242e38edc525acd721eae72edf9723dce4c829e251.png	Un acorazado de la «Flota de la Niebla». Modelado a partir del 4.º acorazado de clase Kongō de la Marina Imperial Japonesa, el Kirishima. Aparece por primera vez frente al I-401 junto al Haruna en la batalla de la bahía de Yokosuka. Al final fue derrotado por el I-401 pues su «carta del triunfo» fue contraproducente frente a las tácticas del rival.\nEste barco de guerra se ha diseñado específicamente para World of Warships, y está modelado a partir del Kirishima de «ARPEGGIO OF BLUE STEEL -ARS NOVA-».
PJSC510	Azuma	Cruiser	japan	https://glossary-wows-global.gcdn.co/icons//vehicle/small/PJSC510_886ef945c0c4bf7eb13c2bbe9fcec363931c50e65bd5bdbf7eda10fe2f8d94b3.png	https://glossary-wows-global.gcdn.co/icons//vehicle/medium/PJSC510_ebc728bb25fd57d23c37074ff90cf8939ce74b35ce0bdee4149f50ef0dae9bd4.png	Barco potente de alta velocidad (Proyecto B-65) diseñado para destruir cruceros pesados estadounidenses y hacer frente a los ««grandes cruceros»» de clase Alaska. Algunas soluciones de diseño fueron tomados de los acorazados de clase Yamato. Estaba armado con nueve cañones de 310 mmy tenía una buena protección contra torpedos.
